Date,SpotPrice
7/11/2024,"5,584.54"
7/10/2024,"5,633.91"
7/9/2024,"5,576.98"
7/8/2024,"5,572.85"
7/5/2024,"5,567.19"
7/3/2024,"5,537.02"
7/2/2024,"5,509.01"
7/1/2024,"5,475.09"
6/28/2024,"5,460.48"
6/27/2024,"5,482.87"
6/26/2024,"5,477.90"
6/25/2024,"5,469.30"
6/24/2024,"5,447.87"
6/21/2024,"5,464.62"
6/20/2024,"5,473.17"
6/18/2024,"5,487.03"
6/17/2024,"5,473.23"
6/14/2024,"5,431.60"
6/13/2024,"5,433.74"
6/12/2024,"5,421.03"
6/11/2024,"5,375.32"
6/10/2024,"5,360.79"
6/7/2024,"5,346.99"
6/6/2024,"5,352.96"
6/5/2024,"5,354.03"
6/4/2024,"5,291.34"
6/3/2024,"5,283.40"
5/31/2024,"5,277.51"
5/30/2024,"5,235.48"
5/29/2024,"5,266.95"
5/28/2024,"5,306.04"
5/24/2024,"5,304.72"
5/23/2024,"5,267.84"
5/22/2024,"5,307.01"
5/21/2024,"5,321.41"
5/20/2024,"5,308.13"
5/17/2024,"5,303.27"
5/16/2024,"5,297.10"
5/15/2024,"5,308.15"
5/14/2024,"5,246.68"
5/13/2024,"5,221.42"
5/10/2024,"5,222.68"
5/9/2024,"5,214.08"
5/8/2024,"5,187.67"
5/7/2024,"5,187.70"
5/6/2024,"5,180.74"
5/3/2024,"5,127.79"
5/2/2024,"5,064.20"
5/1/2024,"5,018.39"
4/30/2024,"5,035.69"
4/29/2024,"5,116.17"
4/26/2024,"5,099.96"
4/25/2024,"5,048.42"
4/24/2024,"5,071.63"
4/23/2024,"5,070.55"
4/22/2024,"5,010.60"
4/19/2024,"4,967.23"
4/18/2024,"5,011.12"
4/17/2024,"5,022.21"
4/16/2024,"5,051.41"
4/15/2024,"5,061.82"
4/12/2024,"5,123.41"
4/11/2024,"5,199.06"
4/10/2024,"5,160.64"
4/9/2024,"5,209.91"
4/8/2024,"5,202.39"
4/5/2024,"5,204.34"
4/4/2024,"5,147.21"
4/3/2024,"5,211.49"
4/2/2024,"5,205.81"
4/1/2024,"5,243.77"
3/28/2024,"5,254.35"
3/27/2024,"5,248.49"
3/26/2024,"5,203.58"
3/25/2024,"5,218.19"
3/22/2024,"5,234.18"
3/21/2024,"5,241.53"
3/20/2024,"5,224.62"
3/19/2024,"5,178.51"
3/18/2024,"5,149.42"
3/15/2024,"5,117.09"
3/14/2024,"5,150.48"
3/13/2024,"5,165.31"
3/12/2024,"5,175.27"
3/11/2024,"5,117.94"
3/8/2024,"5,123.69"
3/7/2024,"5,157.36"
3/6/2024,"5,104.76"
3/5/2024,"5,078.65"
3/4/2024,"5,130.95"
3/1/2024,"5,137.08"
2/29/2024,"5,096.27"
2/28/2024,"5,069.76"
2/27/2024,"5,078.18"
2/26/2024,"5,069.53"
2/23/2024,"5,088.80"
2/22/2024,"5,087.03"
2/21/2024,"4,981.80"
2/20/2024,"4,975.51"
2/16/2024,"5,005.57"
2/15/2024,"5,029.73"
2/14/2024,"5,000.62"
2/13/2024,"4,953.17"
2/12/2024,"5,021.84"
2/9/2024,"5,026.61"
2/8/2024,"4,997.91"
2/7/2024,"4,995.06"
2/6/2024,"4,954.23"
2/5/2024,"4,942.81"
2/2/2024,"4,958.61"
2/1/2024,"4,906.19"
1/31/2024,"4,845.65"
1/30/2024,"4,924.97"
1/29/2024,"4,927.93"
1/26/2024,"4,890.97"
1/25/2024,"4,894.16"
1/24/2024,"4,868.55"
1/23/2024,"4,864.60"
1/22/2024,"4,850.43"
1/19/2024,"4,839.81"
1/18/2024,"4,780.94"
1/17/2024,"4,739.21"
1/16/2024,"4,765.98"
1/12/2024,"4,783.83"
1/11/2024,"4,780.24"
1/10/2024,"4,783.45"
1/9/2024,"4,756.50"
1/8/2024,"4,763.54"
1/5/2024,"4,697.24"
1/4/2024,"4,688.68"
1/3/2024,"4,704.81"
1/2/2024,"4,742.83"
12/29/2023,"4,769.83"
12/28/2023,"4,783.35"
12/27/2023,"4,781.58"
12/26/2023,"4,774.75"
12/22/2023,"4,754.63"
12/21/2023,"4,746.75"
12/20/2023,"4,698.35"
12/19/2023,"4,768.37"
12/18/2023,"4,740.56"
12/15/2023,"4,719.19"
12/14/2023,"4,719.55"
12/13/2023,"4,707.09"
12/12/2023,"4,643.70"
12/11/2023,"4,622.44"
12/8/2023,"4,604.37"
12/7/2023,"4,585.59"
12/6/2023,"4,549.34"
12/5/2023,"4,567.18"
12/4/2023,"4,569.78"
12/1/2023,"4,594.63"
11/30/2023,"4,567.80"
11/29/2023,"4,550.58"
11/28/2023,"4,554.89"
11/27/2023,"4,550.43"
11/24/2023,"4,559.34"
11/22/2023,"4,556.62"
11/21/2023,"4,538.19"
11/20/2023,"4,547.38"
11/17/2023,"4,514.02"
11/16/2023,"4,508.24"
11/15/2023,"4,502.88"
11/14/2023,"4,495.70"
11/13/2023,"4,411.55"
11/10/2023,"4,415.24"
11/9/2023,"4,347.35"
11/8/2023,"4,382.78"
11/7/2023,"4,378.38"
11/6/2023,"4,365.98"
11/3/2023,"4,358.34"
11/2/2023,"4,317.78"
11/1/2023,"4,237.86"
10/31/2023,"4,193.80"
10/30/2023,"4,166.82"
10/27/2023,"4,117.37"
10/26/2023,"4,137.23"
10/25/2023,"4,186.77"
10/24/2023,"4,247.68"
10/23/2023,"4,217.04"
10/20/2023,"4,224.16"
10/19/2023,"4,278.00"
10/18/2023,"4,314.60"
10/17/2023,"4,373.20"
10/16/2023,"4,373.63"
10/13/2023,"4,327.78"
10/12/2023,"4,349.61"
10/11/2023,"4,376.95"
10/10/2023,"4,358.24"
10/9/2023,"4,335.66"
10/6/2023,"4,308.50"
10/5/2023,"4,258.19"
10/4/2023,"4,263.75"
10/3/2023,"4,229.45"
10/2/2023,"4,288.39"
9/29/2023,"4,288.05"
9/28/2023,"4,299.70"
9/27/2023,"4,274.51"
9/26/2023,"4,273.53"
9/25/2023,"4,337.44"
9/22/2023,"4,320.06"
9/21/2023,"4,330.00"
9/20/2023,"4,402.20"
9/19/2023,"4,443.95"
9/18/2023,"4,453.53"
9/15/2023,"4,450.32"
9/14/2023,"4,505.10"
9/13/2023,"4,467.44"
9/12/2023,"4,461.90"
9/11/2023,"4,487.46"
9/8/2023,"4,457.49"
9/7/2023,"4,451.14"
9/6/2023,"4,465.48"
9/5/2023,"4,496.83"
9/1/2023,"4,515.77"
8/31/2023,"4,507.66"
8/30/2023,"4,514.87"
8/29/2023,"4,497.63"
8/28/2023,"4,433.31"
8/25/2023,"4,405.71"
8/24/2023,"4,376.31"
8/23/2023,"4,436.01"
8/22/2023,"4,387.55"
8/21/2023,"4,399.77"
8/18/2023,"4,369.71"
8/17/2023,"4,370.36"
8/16/2023,"4,404.33"
8/15/2023,"4,437.86"
8/14/2023,"4,489.72"
8/11/2023,"4,464.05"
8/10/2023,"4,468.83"
8/9/2023,"4,467.71"
8/8/2023,"4,499.38"
8/7/2023,"4,518.44"
8/4/2023,"4,478.03"
8/3/2023,"4,501.89"
8/2/2023,"4,513.39"
8/1/2023,"4,576.73"
7/31/2023,"4,588.96"
7/28/2023,"4,582.23"
7/27/2023,"4,537.41"
7/26/2023,"4,566.75"
7/25/2023,"4,567.46"
7/24/2023,"4,554.64"
7/21/2023,"4,536.34"
7/20/2023,"4,534.87"
7/19/2023,"4,565.72"
7/18/2023,"4,554.98"
7/17/2023,"4,522.79"
7/14/2023,"4,505.42"
7/13/2023,"4,510.04"
7/12/2023,"4,472.16"
7/11/2023,"4,439.26"
7/10/2023,"4,409.53"
7/7/2023,"4,398.95"
7/6/2023,"4,411.59"
7/5/2023,"4,446.82"
7/3/2023,"4,455.59"
6/30/2023,"4,450.38"
6/29/2023,"4,396.44"
6/28/2023,"4,376.86"
6/27/2023,"4,378.41"
6/26/2023,"4,328.82"
6/23/2023,"4,348.33"
6/22/2023,"4,381.89"
6/21/2023,"4,365.69"
6/20/2023,"4,388.71"
6/16/2023,"4,409.59"
6/15/2023,"4,425.84"
6/14/2023,"4,372.59"
6/13/2023,"4,369.01"
6/12/2023,"4,338.93"
6/9/2023,"4,298.86"
6/8/2023,"4,293.93"
6/7/2023,"4,267.52"
6/6/2023,"4,283.85"
6/5/2023,"4,273.79"
6/2/2023,"4,282.37"
6/1/2023,"4,221.02"
5/31/2023,"4,179.83"
5/30/2023,"4,205.52"
5/26/2023,"4,205.45"
5/25/2023,"4,151.28"
5/24/2023,"4,115.24"
5/23/2023,"4,145.58"
5/22/2023,"4,192.63"
5/19/2023,"4,191.98"
5/18/2023,"4,198.05"
5/17/2023,"4,158.77"
5/16/2023,"4,109.90"
5/15/2023,"4,136.28"
5/12/2023,"4,124.08"
5/11/2023,"4,130.62"
5/10/2023,"4,137.64"
5/9/2023,"4,119.17"
5/8/2023,"4,138.12"
5/5/2023,"4,136.25"
5/4/2023,"4,061.22"
5/3/2023,"4,090.75"
5/2/2023,"4,119.58"
5/1/2023,"4,167.87"
4/28/2023,"4,169.48"
4/27/2023,"4,135.35"
4/26/2023,"4,055.99"
4/25/2023,"4,071.63"
4/24/2023,"4,137.04"
4/21/2023,"4,133.52"
4/20/2023,"4,129.79"
4/19/2023,"4,154.52"
4/18/2023,"4,154.87"
4/17/2023,"4,151.32"
4/14/2023,"4,137.64"
4/13/2023,"4,146.22"
4/12/2023,"4,091.95"
4/11/2023,"4,108.94"
4/10/2023,"4,109.11"
4/6/2023,"4,105.02"
4/5/2023,"4,090.38"
4/4/2023,"4,100.60"
4/3/2023,"4,124.51"
3/31/2023,"4,109.31"
3/30/2023,"4,050.83"
3/29/2023,"4,027.81"
3/28/2023,"3,971.27"
3/27/2023,"3,977.53"
3/24/2023,"3,970.99"
3/23/2023,"3,948.72"
3/22/2023,"3,936.97"
3/21/2023,"4,002.87"
3/20/2023,"3,951.57"
3/17/2023,"3,916.64"
3/16/2023,"3,960.28"
3/15/2023,"3,891.93"
3/14/2023,"3,919.29"
3/13/2023,"3,855.76"
3/10/2023,"3,861.59"
3/9/2023,"3,918.32"
3/8/2023,"3,992.01"
3/7/2023,"3,986.37"
3/6/2023,"4,048.42"
3/3/2023,"4,045.64"
3/2/2023,"3,981.35"
3/1/2023,"3,951.39"
2/28/2023,"3,970.15"
2/27/2023,"3,982.24"
2/24/2023,"3,970.04"
2/23/2023,"4,012.32"
2/22/2023,"3,991.05"
2/21/2023,"3,997.34"
2/17/2023,"4,079.09"
2/16/2023,"4,090.41"
2/15/2023,"4,147.60"
2/14/2023,"4,136.13"
2/13/2023,"4,137.29"
2/10/2023,"4,090.46"
2/9/2023,"4,081.50"
2/8/2023,"4,117.86"
2/7/2023,"4,164.00"
2/6/2023,"4,111.08"
2/3/2023,"4,136.48"
2/2/2023,"4,179.76"
2/1/2023,"4,119.21"
1/31/2023,"4,076.60"
1/30/2023,"4,017.77"
1/27/2023,"4,070.56"
1/26/2023,"4,060.43"
1/25/2023,"4,016.22"
1/24/2023,"4,016.95"
1/23/2023,"4,019.81"
1/20/2023,"3,972.61"
1/19/2023,"3,898.85"
1/18/2023,"3,928.86"
1/17/2023,"3,990.97"
1/13/2023,"3,999.09"
1/12/2023,"3,983.17"
1/11/2023,"3,969.61"
1/10/2023,"3,919.25"
1/9/2023,"3,892.09"
1/6/2023,"3,895.08"
1/5/2023,"3,808.10"
1/4/2023,"3,852.97"
1/3/2023,"3,824.14"
12/30/2022,"3,839.50"
12/29/2022,"3,849.28"
12/28/2022,"3,783.22"
12/27/2022,"3,829.25"
12/23/2022,"3,844.82"
12/22/2022,"3,822.39"
12/21/2022,"3,878.44"
12/20/2022,"3,821.62"
12/19/2022,"3,817.66"
12/16/2022,"3,852.36"
12/15/2022,"3,895.75"
12/14/2022,"3,995.32"
12/13/2022,"4,019.65"
12/12/2022,"3,990.56"
12/9/2022,"3,934.38"
12/8/2022,"3,963.51"
12/7/2022,"3,933.92"
12/6/2022,"3,941.26"
12/5/2022,"3,998.84"
12/2/2022,"4,071.70"
12/1/2022,"4,076.57"
11/30/2022,"4,080.11"
11/29/2022,"3,957.63"
11/28/2022,"3,963.94"
11/25/2022,"4,026.12"
11/23/2022,"4,027.26"
11/22/2022,"4,003.58"
11/21/2022,"3,949.94"
11/18/2022,"3,965.34"
11/17/2022,"3,946.56"
11/16/2022,"3,958.79"
11/15/2022,"3,991.73"
11/14/2022,"3,957.25"
11/11/2022,"3,992.93"
11/10/2022,"3,956.37"
11/9/2022,"3,748.57"
11/8/2022,"3,828.11"
11/7/2022,"3,806.80"
11/4/2022,"3,770.55"
11/3/2022,"3,719.89"
11/2/2022,"3,759.69"
11/1/2022,"3,856.10"
10/31/2022,"3,871.98"
10/28/2022,"3,901.06"
10/27/2022,"3,807.30"
10/26/2022,"3,830.60"
10/25/2022,"3,859.11"
10/24/2022,"3,797.34"
10/21/2022,"3,752.75"
10/20/2022,"3,665.78"
10/19/2022,"3,695.16"
10/18/2022,"3,719.98"
10/17/2022,"3,677.95"
10/14/2022,"3,583.07"
10/13/2022,"3,669.91"
10/12/2022,"3,577.03"
10/11/2022,"3,588.84"
10/10/2022,"3,612.39"
10/7/2022,"3,639.66"
10/6/2022,"3,744.52"
10/5/2022,"3,783.28"
10/4/2022,"3,790.93"
10/3/2022,"3,678.43"
9/30/2022,"3,585.62"
9/29/2022,"3,640.47"
9/28/2022,"3,719.04"
9/27/2022,"3,647.29"
9/26/2022,"3,655.04"
9/23/2022,"3,693.23"
9/22/2022,"3,757.99"
9/21/2022,"3,789.93"
9/20/2022,"3,855.93"
9/19/2022,"3,899.89"
9/16/2022,"3,873.33"
9/15/2022,"3,901.35"
9/14/2022,"3,946.01"
9/13/2022,"3,932.69"
9/12/2022,"4,110.41"
9/9/2022,"4,067.36"
9/8/2022,"4,006.18"
9/7/2022,"3,979.87"
9/6/2022,"3,908.19"
9/2/2022,"3,924.26"
9/1/2022,"3,966.85"
8/31/2022,"3,955.00"
8/30/2022,"3,986.16"
8/29/2022,"4,030.61"
8/26/2022,"4,057.66"
8/25/2022,"4,199.12"
8/24/2022,"4,140.77"
8/23/2022,"4,128.73"
8/22/2022,"4,137.99"
8/19/2022,"4,228.48"
8/18/2022,"4,283.74"
8/17/2022,"4,274.04"
8/16/2022,"4,305.20"
8/15/2022,"4,297.14"
8/12/2022,"4,280.15"
8/11/2022,"4,207.27"
8/10/2022,"4,210.24"
8/9/2022,"4,122.47"
8/8/2022,"4,140.06"
8/5/2022,"4,145.19"
8/4/2022,"4,151.94"
8/3/2022,"4,155.17"
8/2/2022,"4,091.19"
8/1/2022,"4,118.63"
7/29/2022,"4,130.29"
7/28/2022,"4,072.43"
7/27/2022,"4,023.61"
7/26/2022,"3,921.05"
7/25/2022,"3,966.84"
7/22/2022,"3,961.63"
7/21/2022,"3,998.95"
7/20/2022,"3,959.90"
7/19/2022,"3,936.69"
7/18/2022,"3,830.85"
7/15/2022,"3,863.16"
7/14/2022,"3,790.38"
7/13/2022,"3,801.78"
7/12/2022,"3,818.80"
7/11/2022,"3,854.43"
7/8/2022,"3,899.38"
7/7/2022,"3,902.62"
7/6/2022,"3,845.08"
7/5/2022,"3,831.39"
7/1/2022,"3,825.33"
6/30/2022,"3,785.38"
6/29/2022,"3,818.83"
6/28/2022,"3,821.55"
6/27/2022,"3,900.11"
6/24/2022,"3,911.74"
6/23/2022,"3,795.73"
6/22/2022,"3,759.89"
6/21/2022,"3,764.79"
6/17/2022,"3,674.84"
6/16/2022,"3,666.77"
6/15/2022,"3,789.99"
6/14/2022,"3,735.48"
6/13/2022,"3,749.63"
6/10/2022,"3,900.86"
6/9/2022,"4,017.82"
6/8/2022,"4,115.77"
6/7/2022,"4,160.68"
6/6/2022,"4,121.43"
6/3/2022,"4,108.54"
6/2/2022,"4,176.82"
6/1/2022,"4,101.23"
5/31/2022,"4,132.15"
5/27/2022,"4,158.24"
5/26/2022,"4,057.84"
5/25/2022,"3,978.73"
5/24/2022,"3,941.48"
5/23/2022,"3,973.75"
5/20/2022,"3,901.36"
5/19/2022,"3,900.79"
5/18/2022,"3,923.68"
5/17/2022,"4,088.85"
5/16/2022,"4,008.01"
5/13/2022,"4,023.89"
5/12/2022,"3,930.08"
5/11/2022,"3,935.18"
5/10/2022,"4,001.05"
5/9/2022,"3,991.24"
5/6/2022,"4,123.34"
5/5/2022,"4,146.87"
5/4/2022,"4,300.17"
5/3/2022,"4,175.48"
5/2/2022,"4,155.38"
4/29/2022,"4,131.93"
4/28/2022,"4,287.50"
4/27/2022,"4,183.96"
4/26/2022,"4,175.20"
4/25/2022,"4,296.12"
4/22/2022,"4,271.78"
4/21/2022,"4,393.66"
4/20/2022,"4,459.45"
4/19/2022,"4,462.21"
4/18/2022,"4,391.69"
4/14/2022,"4,392.59"
4/13/2022,"4,446.59"
4/12/2022,"4,397.45"
4/11/2022,"4,412.53"
4/8/2022,"4,488.28"
4/7/2022,"4,500.21"
4/6/2022,"4,481.15"
4/5/2022,"4,525.12"
4/4/2022,"4,582.64"
4/1/2022,"4,545.86"
3/31/2022,"4,530.41"
3/30/2022,"4,602.45"
3/29/2022,"4,631.60"
3/28/2022,"4,575.52"
3/25/2022,"4,543.06"
3/24/2022,"4,520.16"
3/23/2022,"4,456.24"
3/22/2022,"4,511.61"
3/21/2022,"4,461.18"
3/18/2022,"4,463.12"
3/17/2022,"4,411.67"
3/16/2022,"4,357.86"
3/15/2022,"4,262.45"
3/14/2022,"4,173.11"
3/11/2022,"4,204.31"
3/10/2022,"4,259.52"
3/9/2022,"4,277.88"
3/8/2022,"4,170.70"
3/7/2022,"4,201.09"
3/4/2022,"4,328.87"
3/3/2022,"4,363.49"
3/2/2022,"4,386.54"
3/1/2022,"4,306.26"
2/28/2022,"4,373.94"
2/25/2022,"4,384.65"
2/24/2022,"4,288.70"
2/23/2022,"4,225.50"
2/22/2022,"4,304.76"
2/18/2022,"4,348.87"
2/17/2022,"4,380.26"
2/16/2022,"4,475.01"
2/15/2022,"4,471.07"
2/14/2022,"4,401.67"
2/11/2022,"4,418.64"
2/10/2022,"4,504.10"
2/9/2022,"4,587.20"
2/8/2022,"4,521.50"
2/7/2022,"4,483.90"
2/4/2022,"4,500.50"
2/3/2022,"4,477.40"
2/2/2022,"4,589.40"
2/1/2022,"4,546.50"
